URL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,"digital assets, net","digital assets gain, net",purchases of digital assets,proceeds from sales of digital assets,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1512673/000162828022003825/sq-20211231.htm,cryptocurrency investment,bitcoin revenue,bitcoin costs,bitcoin impairment losses,bitcoin impairment losses,bitcoin impairment losses,bitcoin revenue,bitcoin costs,bitcoin impairment losses,bitcoin impairment losses,purchase of bitcoin investments,bitcoin revenue,"investment in bitcoin, net (iii)",bitcoin revenue,bitcoin revenue,bitcoin revenue,less: bitcoin impairment losses,bitcoin lent to third party borrowers,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1512673/000151267321000008/sq-20201231.htm,bitcoin revenue,bitcoin costs,bitcoin revenue,bitcoin costs,bitcoin revenue,bitcoin costs,bitcoin revenue,investment in bitcoin (iii),bitcoin revenue,bitcoin revenue,bitcoin revenue,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1679788/000167978822000031/coin-20211231.htm,bitcoin,bitcoin,bitcoin,bitcoin,bitcoin,bitcoin,ethereum,ethereum,ethereum,ethereum,ethereum,ethereum,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1374310/000155837022001386/cboe-20211231x10k.htm,"&#8220;erisx&#8221; refers to eris digital holdings, llc.","investment in eris digital holdings, llc",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1374310/000155837021001286/cboe-20201231x10k.htm,"investment in eris digital holdings, llc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1783879/000178387922000044/hood-20211231.htm,cryptocurrencies,cryptocurrencies,cryptocurrencies,cryptocurrencies,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1050446/000156459022005287/mstr-10k_20211231.htm,digital asset purchases,digital asset impairment losses,digital asset purchases,digital asset impairment losses,digital asset impairment losses,digital asset impairment losses,digital assets,digital asset impairment losses,digital asset impairment losses,purchases of digital assets,digital asset impairment losses,source of capital used to purchase bitcoin,bitcoins held,approximate average purchase price per bitcoin,approximate number of bitcoins held at end of year,lowest market price per bitcoin during year (a),highest market price per bitcoin during year (c),market price per bitcoin at end of year (e),,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1050446/000156459021005783/mstr-10k_20201231.htm,digital asset impairment losses,digital asset impairment losses,digital asset impairment losses,digital asset impairment losses,digital assets,digital asset impairment losses,digital asset impairment losses,purchases of digital assets,digital asset impairment losses,,,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1706509/000164033422000801/cosmos_10k.htm,changes in market sentiments towards digital assets and crypto;,digital assets,digital assets,gain from the sale of digital assets,impairment loss on digital assets,digital assets received as revenue,digital assets paid for expense,impairment loss on digital assets,loss on the sale of digital assets,impairment loss on digital assets,gain from the sale of digital assets,purchased cryptocurrencies,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1507605/000149315222006446/form10-k.htm,impairment of mined cryptocurrency,impairment of mined cryptocurrency,impairment of mined cryptocurrency (per diluted share),cryptocurrency mining revenue,impairment of mined cryptocurrency,impairment of cryptocurrencies (5),impairment of cryptocurrencies,"
    ","interest received on cryptocurrencies, restricted","bitcoin
    investment trust",,,,,,,,,,,,,,,,,,,,
https://www.sec.gov/Archives/edgar/data/1507605/000149315221006139/form10-k.htm,cryptocurrency mining revenue,"bitcoin
    investment trust",,,,,,,,,,,,,,,,,,,,,,,,,,,,
